velocidad_bala,distancia,bala_y,accion
-6.0,256.0,77.0,0
-6.0,250.0,77.0,0
-6.0,244.0,77.0,0
-6.0,238.0,77.0,0
-6.0,232.0,77.0,0
-6.0,226.0,77.0,0
-6.0,220.0,77.0,0
-6.0,214.0,77.0,0
-6.0,208.0,77.0,0
-6.0,202.0,77.0,0
-6.0,196.0,77.0,0
-6.0,190.0,77.0,0
-6.0,184.0,77.0,0
-6.0,178.0,77.0,0
-6.0,172.0,77.0,0
-6.0,166.0,77.0,0
-6.0,160.0,77.0,0
-6.0,154.0,77.0,0
-6.0,148.0,77.0,0
-6.0,142.0,77.0,0
-6.0,136.0,77.0,0
-6.0,130.0,77.0,0
-6.0,124.0,77.0,0
-6.0,118.0,77.0,0
-6.0,112.0,77.0,0
-6.0,106.0,77.0,0
-6.0,100.0,77.0,0
-6.0,94.0,77.0,0
-6.0,88.0,77.0,0
-6.0,82.0,77.0,0
-6.0,76.0,77.0,0
-6.0,70.0,77.0,0
-6.0,64.0,77.0,0
-6.0,58.0,77.0,0
-6.0,52.0,77.0,0
-6.0,46.0,77.0,0
-6.0,40.0,77.0,0
-6.0,34.0,77.0,0
-6.0,28.0,77.0,0
-6.0,22.0,77.0,0
-6.0,16.0,77.0,0
-6.0,10.0,77.0,0
-6.0,4.0,77.0,0
-6.0,2.0,77.0,0
-6.0,8.0,77.0,0
-6.0,14.0,77.0,0
-6.0,20.0,77.0,0
-6.0,26.0,77.0,0
-6.0,32.0,77.0,0
-6.0,38.0,77.0,0
-6.0,44.0,77.0,0
-6.0,50.0,77.0,0
-6.0,56.0,77.0,0
-6.0,62.0,77.0,0
-6.0,68.0,77.0,0
-6.0,964.0,-35.0,0
-6.0,958.0,-35.0,0
-6.0,952.0,-35.0,0
-6.0,946.0,-35.0,0
-6.0,940.0,-35.0,0
-6.0,934.0,-35.0,0
-6.0,928.0,-35.0,0
-6.0,922.0,-35.0,0
-6.0,916.0,-35.0,0
-6.0,910.0,-35.0,0
-6.0,904.0,-35.0,0
-6.0,898.0,-35.0,0
-6.0,892.0,-35.0,0
-6.0,886.0,-35.0,0
-6.0,880.0,-35.0,0
-6.0,874.0,-35.0,0
-6.0,868.0,-35.0,0
-6.0,862.0,-35.0,0
-6.0,856.0,-35.0,0
-6.0,850.0,-35.0,0
-6.0,844.0,-35.0,0
-6.0,838.0,-35.0,0
-6.0,832.0,-35.0,0
-6.0,826.0,-35.0,0
-6.0,820.0,-35.0,0
-6.0,814.0,-35.0,0
-6.0,808.0,-35.0,0
-6.0,802.0,-35.0,0
-6.0,796.0,-35.0,0
-6.0,790.0,-35.0,0
-6.0,784.0,-35.0,0
-6.0,778.0,-35.0,0
-6.0,772.0,-35.0,0
-6.0,766.0,-35.0,0
-6.0,760.0,-35.0,0
-6.0,754.0,-35.0,0
-6.0,748.0,-35.0,0
-6.0,742.0,-35.0,0
-6.0,736.0,-35.0,0
-6.0,730.0,-35.0,0
-6.0,724.0,-35.0,0
-6.0,718.0,-35.0,0
-6.0,712.0,-35.0,0
-6.0,706.0,-35.0,0
-6.0,700.0,-35.0,0
-6.0,694.0,-35.0,0
-6.0,688.0,-35.0,0
-6.0,682.0,-35.0,0
-6.0,676.0,-35.0,0
-6.0,670.0,-35.0,0
-6.0,664.0,-35.0,0
-6.0,658.0,-35.0,0
-6.0,652.0,-35.0,0
-6.0,646.0,-35.0,0
-6.0,640.0,-35.0,0
-6.0,634.0,-35.0,0
-6.0,628.0,-35.0,0
-6.0,622.0,-35.0,0
-6.0,616.0,-35.0,0
-6.0,610.0,-35.0,0
-6.0,604.0,-35.0,0
-6.0,598.0,-35.0,0
-6.0,592.0,-35.0,0
-6.0,586.0,-35.0,0
-6.0,580.0,-35.0,0
-6.0,574.0,-35.0,0
-6.0,568.0,-35.0,0
-6.0,562.0,-35.0,0
-6.0,556.0,-35.0,0
-6.0,550.0,-35.0,0
-6.0,544.0,-35.0,0
-6.0,538.0,-35.0,0
-6.0,532.0,-35.0,0
-6.0,526.0,-35.0,0
-6.0,520.0,-35.0,0
-6.0,514.0,-35.0,0
-6.0,508.0,-35.0,0
-6.0,502.0,-35.0,0
-6.0,496.0,-35.0,0
-6.0,490.0,-35.0,0
-6.0,484.0,-35.0,0
-6.0,478.0,-35.0,0
-6.0,472.0,-35.0,0
-6.0,466.0,-35.0,0
-6.0,460.0,-35.0,0
-6.0,454.0,-35.0,0
-6.0,448.0,-35.0,0
-6.0,442.0,-35.0,0
-6.0,436.0,-35.0,0
-6.0,430.0,-35.0,0
-6.0,424.0,-35.0,0
-6.0,418.0,-35.0,0
-6.0,412.0,-35.0,0
-6.0,406.0,-35.0,0
-6.0,400.0,-35.0,0
-6.0,394.0,-35.0,0
-6.0,388.0,-35.0,0
-6.0,382.0,-35.0,0
-6.0,376.0,-35.0,0
-6.0,370.0,-35.0,0
-6.0,364.0,-35.0,0
-6.0,358.0,-35.0,0
-6.0,352.0,-35.0,0
-6.0,346.0,-35.0,0
-6.0,340.0,-35.0,0
-6.0,334.0,-35.0,0
-6.0,328.0,-35.0,0
-6.0,322.0,-35.0,0
-6.0,316.0,-35.0,0
-6.0,310.0,-35.0,0
-6.0,304.0,-35.0,0
-6.0,298.0,-35.0,0
-6.0,292.0,-35.0,0
-6.0,286.0,-35.0,0
-6.0,280.0,-35.0,0
-6.0,274.0,-35.0,0
-6.0,268.0,-35.0,0
-6.0,262.0,-35.0,0
-6.0,256.0,-35.0,0
-6.0,250.0,-35.0,0
-6.0,244.0,-35.0,0
-6.0,238.0,-35.0,0
-6.0,232.0,-35.0,0
-6.0,226.0,-35.0,0
-6.0,220.0,-35.0,0
-6.0,214.0,-35.0,0
-6.0,208.0,-35.0,0
-6.0,202.0,-35.0,0
-6.0,196.0,-35.0,0
-6.0,190.0,-35.0,0
-6.0,184.0,-35.0,0
-6.0,178.0,-35.0,0
-6.0,172.0,-35.0,0
-6.0,166.0,-35.0,0
-6.0,160.0,-35.0,0
-6.0,154.0,-35.0,0
-6.0,148.0,-35.0,0
-6.0,142.0,-35.0,0
-6.0,136.0,-35.0,0
-6.0,130.0,-35.0,0
-6.0,124.0,-35.0,0
-6.0,118.0,-35.0,0
-6.0,112.0,-35.0,0
-6.0,106.0,-35.0,0
-6.0,100.0,-35.0,1
-6.0,94.0,-35.0,1
-6.0,88.0,-35.0,1
-6.0,82.0,-35.0,1
-6.0,76.0,-35.0,1
-6.0,70.0,-35.0,1
-6.0,64.0,-35.0,1
-6.0,58.0,-35.0,1
-6.0,52.0,-35.0,1
-6.0,46.0,-35.0,1
-6.0,40.0,-35.0,1
-6.0,34.0,-35.0,1
-6.0,28.0,-35.0,1
-6.0,22.0,-35.0,1
-6.0,16.0,-35.0,1
-6.0,10.0,-35.0,1
-6.0,4.0,-35.0,1
-6.0,2.0,-35.0,1
-6.0,8.0,-35.0,1
-6.0,14.0,-35.0,1
-6.0,20.0,-35.0,1
-6.0,26.0,-35.0,1
-6.0,32.0,-35.0,1
-6.0,38.0,-35.0,1
-6.0,44.0,-35.0,1
-6.0,50.0,-35.0,1
-6.0,56.0,-35.0,1
-6.0,62.0,-35.0,1
-6.0,68.0,-35.0,1
-6.0,964.0,77.0,1
-6.0,958.0,77.0,1
-6.0,952.0,77.0,0
-6.0,946.0,77.0,0
-6.0,940.0,77.0,0
-6.0,934.0,77.0,0
-6.0,928.0,77.0,0
-6.0,922.0,77.0,0
-6.0,916.0,77.0,0
-6.0,910.0,77.0,0
-6.0,904.0,77.0,0
-6.0,898.0,77.0,0
-6.0,892.0,77.0,0
-6.0,886.0,77.0,0
-6.0,880.0,77.0,0
-6.0,874.0,77.0,0
-6.0,868.0,77.0,0
-6.0,862.0,77.0,0
-6.0,856.0,77.0,0
-6.0,850.0,77.0,0
-6.0,844.0,77.0,0
-6.0,838.0,77.0,0
-6.0,832.0,77.0,0
-6.0,826.0,77.0,0
-6.0,820.0,77.0,0
-6.0,814.0,77.0,0
-6.0,808.0,77.0,0
-6.0,802.0,77.0,0
-6.0,796.0,77.0,0
-6.0,790.0,77.0,0
-6.0,784.0,77.0,0
-6.0,778.0,77.0,0
-6.0,772.0,77.0,0
-6.0,766.0,77.0,0
-6.0,760.0,77.0,0
-6.0,754.0,77.0,0
-6.0,748.0,77.0,0
-6.0,742.0,77.0,0
-6.0,736.0,77.0,0
-6.0,730.0,77.0,0
-6.0,724.0,77.0,0
-6.0,718.0,77.0,0
-6.0,712.0,77.0,0
-6.0,706.0,77.0,0
-6.0,700.0,77.0,0
-6.0,694.0,77.0,0
-6.0,688.0,77.0,0
-6.0,682.0,77.0,0
-6.0,676.0,77.0,0
-6.0,670.0,77.0,0
-6.0,664.0,77.0,0
-6.0,658.0,77.0,0
-6.0,652.0,77.0,0
-6.0,646.0,77.0,0
-6.0,640.0,77.0,0
-6.0,634.0,77.0,0
-6.0,628.0,77.0,0
-6.0,622.0,77.0,0
-6.0,616.0,77.0,0
-6.0,610.0,77.0,0
-6.0,604.0,77.0,0
-6.0,598.0,77.0,0
-6.0,592.0,77.0,0
-6.0,586.0,77.0,0
-6.0,580.0,77.0,0
-6.0,574.0,77.0,0
-6.0,568.0,77.0,0
-6.0,562.0,77.0,0
-6.0,556.0,77.0,0
-6.0,550.0,77.0,0
-6.0,544.0,77.0,0
-6.0,538.0,77.0,0
-6.0,532.0,77.0,0
-6.0,526.0,77.0,0
-6.0,520.0,77.0,0
-6.0,514.0,77.0,0
-6.0,508.0,77.0,0
-6.0,502.0,77.0,0
-6.0,496.0,77.0,0
-6.0,490.0,77.0,0
-6.0,484.0,77.0,0
-6.0,478.0,77.0,0
-6.0,472.0,77.0,0
-6.0,466.0,77.0,0
